Recording	Participant	Gender	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Average_pupil_diameter
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	Return	2637	203	13	28380	143	4.07868
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	SecondIfStatement	3400	227	15	15533	162	3.94022
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	ThirdIfStatement	4980	166	30	15273	230	3.99621
Recording37	Participant36	Male	White on Black	py1syn (1)	1	py1syn	VarDeclaration	3415	213	16	1162	338	3.78548
Recording37	Participant36	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere	13734	259	53	2901	405	3.76769
Recording37	Participant36	Male	White on Black	py2sem (1)	1	py2sem	BugIsHere2	5948	180	33	20895	168	3.75507
Recording37	Participant36	Male	White on Black	py2sem (1)	1	py2sem	FirstPrint	15607	205	76	26288	162	3.82523
Recording37	Participant36	Male	White on Black	py2sem (1)	1	py2sem	Increment	8715	223	39	30418	148	3.96265
Recording37	Participant36	Male	White on Black	py2sem (1)	1	py2sem	MainHeader	0		0			
Recording37	Participant36	Male	White on Black	py2sem (1)	1	py2sem	SecondPrint	10657	169	63	36354	128	3.86881
