Metric,Media,AOI,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Number_of_fixations,py1sem,CastingCall,61.8, 61.5, 46.0, 60.0, 94.5,0.6844986523786493, -0.1
Number_of_fixations,py1sem,CastingFunction,72.0, 50.07142857142857, 58.0, 45.0, 129.5,0.14735776044431081, 0.23333333333333334
Number_of_fixations,py1sem,MainHeader,1.2, 5.142857142857143, 0.0, 3.0, 72.5,0.9399430369970425, -0.30952380952380953
Number_of_fixations,py1sem,PrintStatement,56.666666666666664, 59.142857142857146, 51.0, 54.5, 99.5,0.6033356397479562, -0.05238095238095238
Number_of_fixations,py1sem,VarDeclaration,50.4, 71.57142857142857, 47.0, 66.0, 80.0,0.8671267239542899, -0.23809523809523808
Number_of_fixations,py1syn,BugIsHere,6.333333333333333, 7.357142857142857, 5.0, 5.0, 91.5,0.7307097477588372, -0.12857142857142856
Number_of_fixations,py1syn,FirstIfStatement,28.333333333333332, 25.285714285714285, 28.0, 25.0, 113.0,0.3715423468079051, 0.0761904761904762
Number_of_fixations,py1syn,FunctionCall,16.4, 21.928571428571427, 19.0, 17.5, 94.5,0.6845618289846273, -0.1
Number_of_fixations,py1syn,FunctionHeader,11.333333333333334, 11.714285714285714, 9.0, 7.0, 109.0,0.43918514563542144, 0.0380952380952381
Number_of_fixations,py1syn,MainHeader,1.2, 3.7142857142857144, 1.0, 1.5, 83.5,0.8406978517155259, -0.20476190476190476
Number_of_fixations,py1syn,PrintStatement,18.533333333333335, 29.642857142857142, 19.0, 27.5, 82.0,0.8477637518851009, -0.21904761904761905
Number_of_fixations,py1syn,Return,14.266666666666667, 15.5, 12.0, 7.0, 100.0,0.5950456473774756, -0.047619047619047616
Number_of_fixations,py1syn,SecondIfStatement,26.066666666666666, 21.785714285714285, 25.0, 17.0, 116.0,0.3231195965433692, 0.10476190476190476
